Question_No,Question,Topic_tags,Acceptance_rate,isPremium,Difficulty,Question_Link,Solution,Slug,Test_Cases,Has_Solutions,Languages
3161, Block Placement Queries,"['Array', 'Binary Search', '2+']",14.60%,False,Hard,https://leetcode.com/problems/block-placement-queries/description,https://leetcode.com/problems/block-placement-queries/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3162, Find the Number of Good Pairs I,"['Array', 'Hash Table']",86.80%,False,Easy,https://leetcode.com/problems/find-the-number-of-good-pairs-i/description,https://leetcode.com/problems/find-the-number-of-good-pairs-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3163, String Compression III,['String'],56.00%,False,Medium,https://leetcode.com/problems/string-compression-iii/description,https://leetcode.com/problems/string-compression-iii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3164, Find the Number of Good Pairs II,"['Array', 'Hash Table']",25.90%,False,Medium,https://leetcode.com/problems/find-the-number-of-good-pairs-ii/description,https://leetcode.com/problems/find-the-number-of-good-pairs-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3165, Maximum Sum of Subsequence With Non-adjacent Elements,"['Array', 'Divide and Conquer', '2+']",17.10%,False,Hard,https://leetcode.com/problems/maximum-sum-of-subsequence-with-non-adjacent-elements/description,https://leetcode.com/problems/maximum-sum-of-subsequence-with-non-adjacent-elements/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3166, Calculate Parking Fees and Duration,['Database'],52.60%,True,Medium,https://leetcode.com/problems/calculate-parking-fees-and-duration/description,https://leetcode.com/problems/calculate-parking-fees-and-duration/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3167, Better Compression of String,"['Hash Table', 'String', 'Sorting', '1+']",74.70%,True,Medium,https://leetcode.com/problems/better-compression-of-string/description,https://leetcode.com/problems/better-compression-of-string/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3168, Minimum Number of Chairs in a Waiting Room,"['String', 'Simulation']",80.80%,False,Easy,https://leetcode.com/problems/minimum-number-of-chairs-in-a-waiting-room/description,https://leetcode.com/problems/minimum-number-of-chairs-in-a-waiting-room/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3169, Count Days Without Meetings,"['Array', 'Sorting']",34.10%,False,Medium,https://leetcode.com/problems/count-days-without-meetings/description,https://leetcode.com/problems/count-days-without-meetings/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3170, Lexicographically Minimum String After Removing Stars,"['Hash Table', 'String', 'Stack', '2+']",36.00%,False,Medium,https://leetcode.com/problems/lexicographically-minimum-string-after-removing-stars/description,https://leetcode.com/problems/lexicographically-minimum-string-after-removing-stars/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3171, Find Subarray With Bitwise OR Closest to K,"['Array', 'Binary Search', '2+']",31.20%,False,Hard,https://leetcode.com/problems/find-subarray-with-bitwise-or-closest-to-k/description,https://leetcode.com/problems/find-subarray-with-bitwise-or-closest-to-k/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3172, Second Day Verification,['Database'],71.30%,True,Easy,https://leetcode.com/problems/second-day-verification/description,https://leetcode.com/problems/second-day-verification/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3173, Bitwise OR of Adjacent Elements,"['Array', 'Bit Manipulation']",95.50%,True,Easy,https://leetcode.com/problems/bitwise-or-of-adjacent-elements/description,https://leetcode.com/problems/bitwise-or-of-adjacent-elements/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3174, Clear Digits,"['String', 'Stack', 'Simulation']",73.50%,False,Easy,https://leetcode.com/problems/clear-digits/description,https://leetcode.com/problems/clear-digits/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3175, Find The First Player to win K Games in a Row,"['Array', 'Simulation']",39.70%,False,Medium,https://leetcode.com/problems/find-the-first-player-to-win-k-games-in-a-row/description,https://leetcode.com/problems/find-the-first-player-to-win-k-games-in-a-row/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3176, Find the Maximum Length of a Good Subsequence I,"['Array', 'Hash Table', '1+']",30.90%,False,Medium,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-i/description,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3177, Find the Maximum Length of a Good Subsequence II,"['Array', 'Hash Table', '1+']",24.80%,False,Hard,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-ii/description,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3178, Find the Child Who Has the Ball After K Seconds,"['Math', 'Simulation']",62.20%,False,Easy,https://leetcode.com/problems/find-the-child-who-has-the-ball-after-k-seconds/description,https://leetcode.com/problems/find-the-child-who-has-the-ball-after-k-seconds/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3179, Find the N-th Value After K Seconds,"['Array', 'Math', 'Simulation', '2+']",54.60%,False,Medium,https://leetcode.com/problems/find-the-n-th-value-after-k-seconds/description,https://leetcode.com/problems/find-the-n-th-value-after-k-seconds/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3180, Maximum Total Reward Using Operations I,"['Array', 'Dynamic Programming']",29.70%,False,Medium,https://leetcode.com/problems/maximum-total-reward-using-operations-i/description,https://leetcode.com/problems/maximum-total-reward-using-operations-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3181, Maximum Total Reward Using Operations II,"['Array', 'Dynamic Programming', '1+']",21.40%,False,Hard,https://leetcode.com/problems/maximum-total-reward-using-operations-ii/description,https://leetcode.com/problems/maximum-total-reward-using-operations-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3182, Find Top Scoring Students,['Database'],50.20%,True,Medium,https://leetcode.com/problems/find-top-scoring-students/description,https://leetcode.com/problems/find-top-scoring-students/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3183, The Number of Ways to Make the Sum,"['Array', 'Dynamic Programming']",55.20%,True,Medium,https://leetcode.com/problems/the-number-of-ways-to-make-the-sum/description,https://leetcode.com/problems/the-number-of-ways-to-make-the-sum/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3184, Count Pairs That Form a Complete Day I,"['Array', 'Hash Table', 'Counting']",79.20%,False,Easy,https://leetcode.com/problems/count-pairs-that-form-a-complete-day-i/description,https://leetcode.com/problems/count-pairs-that-form-a-complete-day-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3185, Count Pairs That Form a Complete Day II,"['Array', 'Hash Table', 'Counting']",43.20%,False,Medium,https://leetcode.com/problems/count-pairs-that-form-a-complete-day-ii/description,https://leetcode.com/problems/count-pairs-that-form-a-complete-day-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3186, Maximum Total Damage With Spell Casting,"['Array', 'Hash Table', 'Two Pointers', '4+']",26.70%,False,Medium,https://leetcode.com/problems/maximum-total-damage-with-spell-casting/description,https://leetcode.com/problems/maximum-total-damage-with-spell-casting/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3187, Peaks in Array,"['Array', 'Binary Indexed Tree', 'Segment Tree']",27.40%,False,Hard,https://leetcode.com/problems/peaks-in-array/description,https://leetcode.com/problems/peaks-in-array/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3188, Find Top Scoring Students II,['Database'],38.50%,True,Hard,https://leetcode.com/problems/find-top-scoring-students-ii/description,https://leetcode.com/problems/find-top-scoring-students-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3189, Minimum Moves to Get a Peaceful Board,"['Array', 'Greedy', 'Sorting', '1+']",76.90%,True,Medium,https://leetcode.com/problems/minimum-moves-to-get-a-peaceful-board/description,https://leetcode.com/problems/minimum-moves-to-get-a-peaceful-board/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3190, Find Minimum Operations to Make All Elements Divisible by Three,"['Array', 'Math']",90.00%,False,Easy,https://leetcode.com/problems/find-minimum-operations-to-make-all-elements-divisible-by-three/description,https://leetcode.com/problems/find-minimum-operations-to-make-all-elements-divisible-by-three/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3191, Minimum Operations to Make Binary Array Elements Equal to One I,"['Array', 'Bit Manipulation', 'Queue', '2+']",71.00%,False,Medium,https://leetcode.com/problems/minimum-operations-to-make-binary-array-elements-equal-to-one-i/description,https://leetcode.com/problems/minimum-operations-to-make-binary-array-elements-equal-to-one-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3192, Minimum Operations to Make Binary Array Elements Equal to One II,"['Array', 'Dynamic Programming', 'Greedy']",65.50%,False,Medium,https://leetcode.com/problems/minimum-operations-to-make-binary-array-elements-equal-to-one-ii/description,https://leetcode.com/problems/minimum-operations-to-make-binary-array-elements-equal-to-one-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3193, Count the Number of Inversions,"['Array', 'Dynamic Programming']",34.10%,False,Hard,https://leetcode.com/problems/count-the-number-of-inversions/description,https://leetcode.com/problems/count-the-number-of-inversions/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3194, Minimum Average of Smallest and Largest Elements,"['Array', 'Two Pointers', 'Sorting']",85.50%,False,Easy,https://leetcode.com/problems/minimum-average-of-smallest-and-largest-elements/description,https://leetcode.com/problems/minimum-average-of-smallest-and-largest-elements/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3195, Find the Minimum Area to Cover All Ones I,"['Array', 'Matrix']",73.80%,False,Medium,https://leetcode.com/problems/find-the-minimum-area-to-cover-all-ones-i/description,https://leetcode.com/problems/find-the-minimum-area-to-cover-all-ones-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3196, Maximize Total Cost of Alternating Subarrays,"['Array', 'Dynamic Programming']",28.80%,False,Medium,https://leetcode.com/problems/maximize-total-cost-of-alternating-subarrays/description,https://leetcode.com/problems/maximize-total-cost-of-alternating-subarrays/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3197, Find the Minimum Area to Cover All Ones II,"['Array', 'Matrix', 'Enumeration']",38.10%,False,Hard,https://leetcode.com/problems/find-the-minimum-area-to-cover-all-ones-ii/description,https://leetcode.com/problems/find-the-minimum-area-to-cover-all-ones-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3198, Find Cities in Each State,['Database'],83.20%,True,Easy,https://leetcode.com/problems/find-cities-in-each-state/description,https://leetcode.com/problems/find-cities-in-each-state/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3199, Count Triplets with Even XOR Set Bits I,"['Array', 'Bit Manipulation']",84.40%,True,Easy,https://leetcode.com/problems/count-triplets-with-even-xor-set-bits-i/description,https://leetcode.com/problems/count-triplets-with-even-xor-set-bits-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3200, Maximum Height of a Triangle,"['Array', 'Enumeration']",43.00%,False,Easy,https://leetcode.com/problems/maximum-height-of-a-triangle/description,https://leetcode.com/problems/maximum-height-of-a-triangle/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3201, Find the Maximum Length of Valid Subsequence I,"['Array', 'Dynamic Programming']",38.20%,False,Medium,https://leetcode.com/problems/find-the-maximum-length-of-valid-subsequence-i/description,https://leetcode.com/problems/find-the-maximum-length-of-valid-subsequence-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3202, Find the Maximum Length of Valid Subsequence II,"['Array', 'Dynamic Programming']",39.90%,False,Medium,https://leetcode.com/problems/find-the-maximum-length-of-valid-subsequence-ii/description,https://leetcode.com/problems/find-the-maximum-length-of-valid-subsequence-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3203, Find Minimum Diameter After Merging Two Trees,"['Tree', 'Depth-First Search', '2+']",36.20%,False,Hard,https://leetcode.com/problems/find-minimum-diameter-after-merging-two-trees/description,https://leetcode.com/problems/find-minimum-diameter-after-merging-two-trees/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3204, Bitwise User Permissions Analysis,['Database'],94.10%,True,Medium,https://leetcode.com/problems/bitwise-user-permissions-analysis/description,https://leetcode.com/problems/bitwise-user-permissions-analysis/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3205, Maximum Array Hopping Score I,"['Array', 'Dynamic Programming', '3+']",79.90%,True,Medium,https://leetcode.com/problems/maximum-array-hopping-score-i/description,https://leetcode.com/problems/maximum-array-hopping-score-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3206, Alternating Groups I,"['Array', 'Sliding Window']",67.30%,False,Easy,https://leetcode.com/problems/alternating-groups-i/description,https://leetcode.com/problems/alternating-groups-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3207, Maximum Points After Enemy Battles,"['Array', 'Greedy']",32.10%,False,Medium,https://leetcode.com/problems/maximum-points-after-enemy-battles/description,https://leetcode.com/problems/maximum-points-after-enemy-battles/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3208, Alternating Groups II,"['Array', 'Sliding Window']",41.00%,False,Medium,https://leetcode.com/problems/alternating-groups-ii/description,https://leetcode.com/problems/alternating-groups-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3209, Number of Subarrays With AND Value of K,"['Array', 'Binary Search', '2+']",34.50%,False,Hard,https://leetcode.com/problems/number-of-subarrays-with-and-value-of-k/description,https://leetcode.com/problems/number-of-subarrays-with-and-value-of-k/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3210, Find the Encrypted String,['String'],69.00%,False,Easy,https://leetcode.com/problems/find-the-encrypted-string/description,https://leetcode.com/problems/find-the-encrypted-string/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3211, Generate Binary Strings Without Adjacent Zeros,"['String', 'Backtracking', 'Bit Manipulation']",86.70%,False,Medium,https://leetcode.com/problems/generate-binary-strings-without-adjacent-zeros/description,https://leetcode.com/problems/generate-binary-strings-without-adjacent-zeros/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3212, Count Submatrices With Equal Frequency of X and Y,"['Array', 'Matrix', 'Prefix Sum']",52.30%,False,Medium,https://leetcode.com/problems/count-submatrices-with-equal-frequency-of-x-and-y/description,https://leetcode.com/problems/count-submatrices-with-equal-frequency-of-x-and-y/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3213, Construct String with Minimum Cost,"['Array', 'String', '2+']",19.90%,False,Hard,https://leetcode.com/problems/construct-string-with-minimum-cost/description,https://leetcode.com/problems/construct-string-with-minimum-cost/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3214, Year on Year Growth Rate,['Database'],51.70%,True,Hard,https://leetcode.com/problems/year-on-year-growth-rate/description,https://leetcode.com/problems/year-on-year-growth-rate/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3215, Count Triplets with Even XOR Set Bits II,"['Array', 'Bit Manipulation']",72.80%,True,Medium,https://leetcode.com/problems/count-triplets-with-even-xor-set-bits-ii/description,https://leetcode.com/problems/count-triplets-with-even-xor-set-bits-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3216, Lexicographically Smallest String After a Swap,"['String', 'Greedy']",54.00%,False,Easy,https://leetcode.com/problems/lexicographically-smallest-string-after-a-swap/description,https://leetcode.com/problems/lexicographically-smallest-string-after-a-swap/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3217, Delete Nodes From Linked List Present in Array,"['Array', 'Hash Table', 'Linked List']",69.00%,False,Medium,https://leetcode.com/problems/delete-nodes-from-linked-list-present-in-array/description,https://leetcode.com/problems/delete-nodes-from-linked-list-present-in-array/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3218, Minimum Cost for Cutting Cake I,"['Array', 'Dynamic Programming', '2+']",58.20%,False,Medium,https://leetcode.com/problems/minimum-cost-for-cutting-cake-i/description,https://leetcode.com/problems/minimum-cost-for-cutting-cake-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3219, Minimum Cost for Cutting Cake II,"['Array', 'Greedy', 'Sorting']",56.20%,False,Hard,https://leetcode.com/problems/minimum-cost-for-cutting-cake-ii/description,https://leetcode.com/problems/minimum-cost-for-cutting-cake-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3220, Odd and Even Transactions,['Database'],69.70%,False,Medium,https://leetcode.com/problems/odd-and-even-transactions/description,https://leetcode.com/problems/odd-and-even-transactions/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3221, Maximum Array Hopping Score II,"['Array', 'Stack', 'Greedy', '1+']",66.70%,True,Medium,https://leetcode.com/problems/maximum-array-hopping-score-ii/description,https://leetcode.com/problems/maximum-array-hopping-score-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3222, Find the Winning Player in Coin Game,"['Math', 'Simulation', 'Game Theory']",51.90%,False,Easy,https://leetcode.com/problems/find-the-winning-player-in-coin-game/description,https://leetcode.com/problems/find-the-winning-player-in-coin-game/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3223, Minimum Length of String After Operations,"['Hash Table', 'String', 'Counting']",55.50%,False,Medium,https://leetcode.com/problems/minimum-length-of-string-after-operations/description,https://leetcode.com/problems/minimum-length-of-string-after-operations/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3224, Minimum Array Changes to Make Differences Equal,"['Array', 'Hash Table', 'Prefix Sum']",23.20%,False,Medium,https://leetcode.com/problems/minimum-array-changes-to-make-differences-equal/description,https://leetcode.com/problems/minimum-array-changes-to-make-differences-equal/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3225, Maximum Score From Grid Operations,"['Array', 'Dynamic Programming', '2+']",28.90%,False,Hard,https://leetcode.com/problems/maximum-score-from-grid-operations/description,https://leetcode.com/problems/maximum-score-from-grid-operations/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3226, Number of Bit Changes to Make Two Integers Equal,['Bit Manipulation'],64.90%,False,Easy,https://leetcode.com/problems/number-of-bit-changes-to-make-two-integers-equal/description,https://leetcode.com/problems/number-of-bit-changes-to-make-two-integers-equal/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3227, Vowels Game in a String,"['Math', 'String', 'Brainteaser', '1+']",63.10%,False,Medium,https://leetcode.com/problems/vowels-game-in-a-string/description,https://leetcode.com/problems/vowels-game-in-a-string/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3228, Maximum Number of Operations to Move Ones to the End,"['String', 'Greedy', 'Counting']",54.20%,False,Medium,https://leetcode.com/problems/maximum-number-of-operations-to-move-ones-to-the-end/description,https://leetcode.com/problems/maximum-number-of-operations-to-move-ones-to-the-end/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3229, Minimum Operations to Make Array Equal to Target,"['Array', 'Dynamic Programming', '3+']",39.00%,False,Hard,https://leetcode.com/problems/minimum-operations-to-make-array-equal-to-target/description,https://leetcode.com/problems/minimum-operations-to-make-array-equal-to-target/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3230, Customer Purchasing Behavior Analysis,['Database'],37.60%,True,Medium,https://leetcode.com/problems/customer-purchasing-behavior-analysis/description,https://leetcode.com/problems/customer-purchasing-behavior-analysis/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3231, Minimum Number of Increasing Subsequence to Be Removed,"['Array', 'Binary Search']",54.90%,True,Hard,https://leetcode.com/problems/minimum-number-of-increasing-subsequence-to-be-removed/description,https://leetcode.com/problems/minimum-number-of-increasing-subsequence-to-be-removed/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3232, Find if Digit Game Can Be Won,"['Array', 'Math']",83.30%,False,Easy,https://leetcode.com/problems/find-if-digit-game-can-be-won/description,https://leetcode.com/problems/find-if-digit-game-can-be-won/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3233, Find the Count of Numbers Which Are Not Special,"['Array', 'Math', 'Number Theory']",26.80%,False,Medium,https://leetcode.com/problems/find-the-count-of-numbers-which-are-not-special/description,https://leetcode.com/problems/find-the-count-of-numbers-which-are-not-special/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3234, Count the Number of Substrings With Dominant Ones,"['String', 'Sliding Window', 'Enumeration']",16.20%,False,Medium,https://leetcode.com/problems/count-the-number-of-substrings-with-dominant-ones/description,https://leetcode.com/problems/count-the-number-of-substrings-with-dominant-ones/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3235, Check if the Rectangle Corner Is Reachable,"['Array', 'Math', 'Depth-First Search', '3+']",27.60%,False,Hard,https://leetcode.com/problems/check-if-the-rectangle-corner-is-reachable/description,https://leetcode.com/problems/check-if-the-rectangle-corner-is-reachable/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3236, CEO Subordinate Hierarchy,['Database'],73.80%,True,Hard,https://leetcode.com/problems/ceo-subordinate-hierarchy/description,https://leetcode.com/problems/ceo-subordinate-hierarchy/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3237, Alt and Tab Simulation,"['Array', 'Hash Table', 'Simulation']",77.40%,True,Medium,https://leetcode.com/problems/alt-and-tab-simulation/description,https://leetcode.com/problems/alt-and-tab-simulation/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3238, Find the Number of Winning Players,"['Array', 'Hash Table', 'Counting']",61.40%,False,Easy,https://leetcode.com/problems/find-the-number-of-winning-players/description,https://leetcode.com/problems/find-the-number-of-winning-players/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3239, Minimum Number of Flips to Make Binary Grid Palindromic I,"['Array', 'Two Pointers', 'Matrix']",78.30%,False,Medium,https://leetcode.com/problems/minimum-number-of-flips-to-make-binary-grid-palindromic-i/description,https://leetcode.com/problems/minimum-number-of-flips-to-make-binary-grid-palindromic-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3240, Minimum Number of Flips to Make Binary Grid Palindromic II,"['Array', 'Two Pointers', 'Matrix']",23.40%,False,Medium,https://leetcode.com/problems/minimum-number-of-flips-to-make-binary-grid-palindromic-ii/description,https://leetcode.com/problems/minimum-number-of-flips-to-make-binary-grid-palindromic-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3241, Time Taken to Mark All Nodes,"['Dynamic Programming', 'Tree', '2+']",25.00%,False,Hard,https://leetcode.com/problems/time-taken-to-mark-all-nodes/description,https://leetcode.com/problems/time-taken-to-mark-all-nodes/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3242, Design Neighbor Sum Service,"['Array', 'Hash Table', 'Design', '2+']",83.10%,False,Easy,https://leetcode.com/problems/design-neighbor-sum-service/description,https://leetcode.com/problems/design-neighbor-sum-service/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3243, Shortest Distance After Road Addition Queries I,"['Array', 'Breadth-First Search', 'Graph']",47.50%,False,Medium,https://leetcode.com/problems/shortest-distance-after-road-addition-queries-i/description,https://leetcode.com/problems/shortest-distance-after-road-addition-queries-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3244, Shortest Distance After Road Addition Queries II,"['Array', 'Greedy', 'Graph', '1+']",23.90%,False,Hard,https://leetcode.com/problems/shortest-distance-after-road-addition-queries-ii/description,https://leetcode.com/problems/shortest-distance-after-road-addition-queries-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3245, Alternating Groups III,"['Array', 'Binary Indexed Tree']",14.80%,False,Hard,https://leetcode.com/problems/alternating-groups-iii/description,https://leetcode.com/problems/alternating-groups-iii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3246, Premier League Table Ranking,['Database'],84.10%,True,Easy,https://leetcode.com/problems/premier-league-table-ranking/description,https://leetcode.com/problems/premier-league-table-ranking/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3247, Number of Subsequences with Odd Sum,"['Array', 'Math', '2+']",53.50%,True,Medium,https://leetcode.com/problems/number-of-subsequences-with-odd-sum/description,https://leetcode.com/problems/number-of-subsequences-with-odd-sum/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3248, Snake in Matrix,"['Array', 'String', 'Simulation']",82.50%,False,Easy,https://leetcode.com/problems/snake-in-matrix/description,https://leetcode.com/problems/snake-in-matrix/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3249, Count the Number of Good Nodes,"['Tree', 'Depth-First Search']",55.70%,False,Medium,https://leetcode.com/problems/count-the-number-of-good-nodes/description,https://leetcode.com/problems/count-the-number-of-good-nodes/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3250, Find the Count of Monotonic Pairs I,"['Array', 'Math', '3+']",46.20%,False,Hard,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-i/description,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3251, Find the Count of Monotonic Pairs II,"['Array', 'Math', '3+']",22.90%,False,Hard,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-ii/description,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3252, Premier League Table Ranking II,['Database'],57.80%,True,Medium,https://leetcode.com/problems/premier-league-table-ranking-ii/description,https://leetcode.com/problems/premier-league-table-ranking-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3253, Construct String with Minimum Cost (Easy),[],56.60%,True,Medium,https://leetcode.com/problems/construct-string-with-minimum-cost-(easy)/description,https://leetcode.com/problems/construct-string-with-minimum-cost-(easy)/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3254, Find the Power of K-Size Subarrays I,"['Array', 'Sliding Window']",53.70%,False,Medium,https://leetcode.com/problems/find-the-power-of-k-size-subarrays-i/description,https://leetcode.com/problems/find-the-power-of-k-size-subarrays-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3255, Find the Power of K-Size Subarrays II,"['Array', 'Sliding Window']",26.80%,False,Medium,https://leetcode.com/problems/find-the-power-of-k-size-subarrays-ii/description,https://leetcode.com/problems/find-the-power-of-k-size-subarrays-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3256, Maximum Value Sum by Placing Three Rooks I,"['Array', 'Dynamic Programming', '2+']",14.50%,False,Hard,https://leetcode.com/problems/maximum-value-sum-by-placing-three-rooks-i/description,https://leetcode.com/problems/maximum-value-sum-by-placing-three-rooks-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3257, Maximum Value Sum by Placing Three Rooks II,"['Array', 'Dynamic Programming', '2+']",27.80%,False,Hard,https://leetcode.com/problems/maximum-value-sum-by-placing-three-rooks-ii/description,https://leetcode.com/problems/maximum-value-sum-by-placing-three-rooks-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3258, Count Substrings That Satisfy K-Constraint I,"['String', 'Sliding Window']",80.20%,False,Easy,https://leetcode.com/problems/count-substrings-that-satisfy-k-constraint-i/description,https://leetcode.com/problems/count-substrings-that-satisfy-k-constraint-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
